Item,Calories,Calories from Fat,Total Fat,Total Fat (% Daily Value),Saturated Fat,Saturated Fat (% Daily Value),Trans Fat,Cholesterol,Cholesterol (% Daily Value),Sodium,Sodium (% Daily Value),Carbohydrates,Carbohydrates (% Daily Value),Dietary Fiber,Dietary Fiber (% Daily Value),Sugars,Protein,Vitamin A (% Daily Value),Vitamin C (% Daily Value),Calcium (% Daily Value),Iron (% Daily Value)
"Steak, Egg & Cheese Bagel",670,310,35,53,13,63,1.5,295,99,1510,63,56,19,3,12,7,33,20,4,25,25
Big Breakfast (Regular Biscuit),740,430,48,73,17,87,0,555,185,1560,65,51,17,3,12,3,28,15,2,15,25
Big Breakfast (Large Biscuit),800,470,52,80,18,90,0,555,185,1680,70,56,19,4,17,3,28,15,2,15,30
Big Breakfast with Egg Whites (Regular Biscuit),640,330,37,57,14,69,0,35,12,1590,66,50,17,3,12,3,26,0,2,10,15
Big Breakfast with Egg Whites (Large Biscuit),690,370,41,63,14,72,0,35,12,1700,71,55,18,4,17,4,26,4,2,10,15
Big Breakfast with Hotcakes (Regular Biscuit),1090,510,56,87,19,96,0,575,192,2150,90,111,37,6,23,17,36,15,2,25,40
Big Breakfast with Hotcakes (Large Biscuit),1150,540,60,93,20,100,0,575,192,2260,94,116,39,7,28,17,36,15,2,30,40
Big Breakfast with Hotcakes and Egg Whites (Regular Biscuit),990,410,46,70,16,78,0,55,19,2170,91,110,37,6,23,17,35,0,2,25,30
Big Breakfast with Hotcakes and Egg Whites (Large Biscuit),1050,450,50,77,16,81,0,55,19,2290,95,115,38,7,28,18,35,4,2,25,30
Hotcakes,350,80,9,13,2,9,0,20,7,590,24,60,20,3,10,14,8,0,0,15,15
Hotcakes and Sausage,520,210,24,37,7,36,0,50,17,930,39,61,20,3,10,14,15,0,0,15,15
Sausage Burrito,300,150,16,25,7,33,0,115,38,790,33,26,9,1,5,2,12,10,2,15,15
Hash Brown,150,80,9,14,1.5,6,0,0,0,310,13,15,5,2,6,0,1,0,2,0,2
Cinnamon Melts,460,170,19,30,9,43,0,15,5,370,15,66,22,3,11,32,6,4,0,6,15
Fruit & Maple Oatmeal,290,35,4,6,1.5,8,0,5,2,160,7,58,19,5,19,32,5,2,130,10,10
Fruit & Maple Oatmeal without Brown Sugar,260,40,4,6,1.5,8,0,5,2,115,5,49,16,5,22,18,5,2,130,6,10
Big Mac,530,240,27,42,10,48,1,85,28,960,40,47,16,3,13,9,24,6,2,25,25
Quarter Pounder with Cheese,520,240,26,41,12,61,1.5,95,31,1100,46,41,14,3,11,10,30,10,2,30,25
Quarter Pounder with Bacon & Cheese,600,260,29,45,13,63,1.5,105,34,1440,60,48,16,3,12,12,37,6,15,25,30
Quarter Pounder with Bacon Habanero Ranch,610,280,31,48,13,64,1.5,105,35,1180,49,46,15,3,14,10,37,8,20,25,30
Quarter Pounder Deluxe,540,250,27,42,11,54,1.5,85,28,960,40,45,15,3,13,9,29,10,8,25,30
Double Quarter Pounder with Cheese,750,380,43,66,19,96,2.5,160,53,1280,53,42,14,3,11,10,48,10,2,30,35
Hamburger,240,70,8,12,3,15,0,30,10,480,20,32,11,1,6,6,12,2,2,10,15
Cheeseburger,290,100,11,18,5,27,0.5,45,15,680,28,33,11,2,7,7,15,6,2,20,15
Double Cheeseburger,430,190,21,32,10,52,1,90,30,1040,43,35,12,2,8,7,24,10,2,30,20
Bacon Clubhouse Burger,720,360,40,62,15,75,1.5,115,38,1470,61,51,17,4,14,14,39,8,25,30,25
McDouble,380,150,17,26,8,40,1,75,25,840,35,34,11,2,7,7,22,6,2,20,20
Bacon McDouble,440,200,22,34,10,49,1,90,30,1110,46,35,12,2,7,7,27,6,10,20,20
Daily Double,430,200,22,35,9,44,1,80,27,760,32,34,11,2,8,7,22,8,8,20,20
Jalapeño Double,430,210,23,36,9,44,1,80,27,1030,43,35,12,2,7,6,22,6,8,20,20
McRib,500,240,26,40,10,48,0,70,23,980,41,44,15,3,10,11,22,2,2,15,20
Premium Crispy Chicken Classic Sandwich,510,200,22,33,3.5,18,0,45,16,990,41,55,18,3,13,10,24,4,6,15,20
Premium Grilled Chicken Classic Sandwich,350,80,9,13,2,9,0,65,22,820,34,42,14,3,13,8,28,4,8,15,20
Premium Crispy Chicken Club Sandwich,670,300,33,51,9,44,0,85,29,1410,59,58,19,3,14,11,36,8,20,30,20
Premium Grilled Chicken Club Sandwich,510,180,20,31,7,36,0,105,35,1250,52,44,15,3,13,9,40,8,20,30,20
Premium Crispy Chicken Ranch BLT Sandwich,610,250,28,43,6,31,0,70,24,1400,58,57,19,3,13,11,32,4,20,15,20
Premium Grilled Chicken Ranch BLT Sandwich,450,130,15,23,4.5,22,0,90,30,1230,51,43,14,3,13,9,36,4,20,15,20
Bacon Clubhouse Crispy Chicken Sandwich,750,340,38,59,10,51,0.5,90,31,1720,72,65,22,4,15,16,36,8,25,30,15
Bacon Clubhouse Grilled Chicken Sandwich,590,230,25,39,8,42,0,110,37,1560,65,51,17,4,15,14,40,8,30,30,15
Southern Style Crispy Chicken Sandwich,430,170,19,29,3,15,0,45,14,910,38,43,14,2,7,7,21,4,2,15,15
McChicken,360,140,16,25,3,15,0,35,11,800,33,40,13,2,7,5,14,0,2,10,15
Bacon Cheddar McChicken,480,220,24,38,7,35,0,65,21,1260,53,43,14,2,8,6,22,4,10,20,15
Bacon Buffalo Ranch McChicken,430,190,21,32,5,25,0,50,17,1260,53,41,14,2,7,6,20,2,10,15,15
Buffalo Ranch McChicken,360,150,16,25,3,16,0,35,11,990,41,40,13,2,7,5,14,2,2,15,15
Premium McWrap Chicken & Bacon (Crispy Chicken),630,280,32,49,9,45,0.5,80,26,1540,64,56,19,3,13,7,32,60,20,20,20
Premium McWrap Chicken & Bacon (Grilled Chicken),480,170,19,28,7,36,0,95,32,1370,57,42,14,3,13,6,36,60,25,20,20
Premium McWrap Chicken & Ranch (Crispy Chicken),610,280,31,47,8,40,0.5,65,21,1340,56,56,19,3,14,8,27,60,15,20,20
Premium McWrap Chicken & Ranch (Grilled Chicken),450,160,18,27,6,31,0.5,80,27,1170,49,42,14,3,14,6,30,60,15,15,20
Premium McWrap Southwest Chicken (Crispy Chicken),670,300,33,51,8,40,0.5,60,21,1480,62,68,23,5,19,12,27,60,15,20,20
Premium McWrap Southwest Chicken (Grilled Chicken),520,180,20,31,6,32,0,80,27,1320,55,55,18,5,20,10,31,70,15,20,20
